Region,Label
Eastern Africa,Burundi
Eastern Africa,Comoros
Eastern Africa,Djibouti
Eastern Africa,Eritrea
Eastern Africa,Ethiopia
Eastern Africa,"France, La Réunion"
Eastern Africa,Kenya
Eastern Africa,Madagascar
Eastern Africa,Malawi
Eastern Africa,Mauritius
Eastern Africa,Mozambique
Eastern Africa,Rwanda
Eastern Africa,Somalia
Eastern Africa,South Sudan
Eastern Africa,"Tanzania, United Republic of"
Eastern Africa,Uganda
Eastern Africa,Zambia
Eastern Africa,Zimbabwe
Northern Africa,Algeria
Northern Africa,Egypt
Northern Africa,Libya
Northern Africa,Morocco
Northern Africa,Sudan
Northern Africa,Tunisia
Northern Africa,Western Sahara
Western Africa,Benin
Western Africa,Burkina Faso
Western Africa,Cape Verde
Western Africa,Côte d'Ivoire
Western Africa,Ghana
Western Africa,Guinea
Western Africa,Guinea-Bissau
Western Africa,Liberia
Western Africa,Mali
Western Africa,Mauritania
Western Africa,Niger
Western Africa,Nigeria
Western Africa,Sao Tome and Principe
Western Africa,Senegal
Western Africa,Sierra Leone
Western Africa,The Republic of the Gambia
Western Africa,Togo
Middle Africa,Angola
Middle Africa,Cameroon
Middle Africa,Central African Republic
Middle Africa,Chad
Middle Africa,"Congo, Democratic Republic of"
Middle Africa,"Congo, Republic of"
Middle Africa,Equatorial Guinea
Middle Africa,Gabon
Southern Africa,Botswana
Southern Africa,Lesotho
Southern Africa,Namibia
Southern Africa,South Africa
Southern Africa,Eswatini
Caribbean,Bahamas
Caribbean,Barbados
Caribbean,Cuba
Caribbean,Dominican Republic
Caribbean,"France, Guadeloupe"
Caribbean,"France, Martinique"
Caribbean,Haiti
Caribbean,Jamaica
Caribbean,Puerto Rico
Caribbean,Saint Lucia
Caribbean,Trinidad and Tobago
Central America,Belize
Central America,Costa Rica
Central America,El Salvador
Central America,Guatemala
Central America,Honduras
Central America,Mexico
Central America,Nicaragua
Central America,Panama
South America,Argentina
South America,Bolivia
South America,Brazil
South America,Chile
South America,Colombia
South America,Ecuador
South America,French Guyana
South America,Guyana
South America,Paraguay
South America,Peru
South America,Suriname
South America,Uruguay
South America,Venezuela
Northern America,Canada
Northern America,United States of America
Northern America,Bermuda
Northern America,Greenland
Northern America,Saint Pierre and Miquelon
Eastern Asia,China
Eastern Asia,Japan
Eastern Asia,Korea (Democratic People Republic of)
Eastern Asia,Republic of Korea
Eastern Asia,Mongolia
Eastern Asia,Taiwan
South-Eastern Asia,Brunei Darussalam
South-Eastern Asia,Cambodia
South-Eastern Asia,Indonesia
South-Eastern Asia,Lao People's Democratic Republic
South-Eastern Asia,Malaysia
South-Eastern Asia,Myanmar
South-Eastern Asia,Philippines
South-Eastern Asia,Singapore
South-Eastern Asia,Thailand
South-Eastern Asia,Timor-Leste
South-Eastern Asia,Viet Nam
South Central Asia,Afghanistan
South Central Asia,Bangladesh
South Central Asia,Bhutan
South Central Asia,India
South Central Asia,Iran (Islamic Republic of)
South Central Asia,Kazakhstan
South Central Asia,Kyrgyzstan
South Central Asia,Maldives
South Central Asia,Nepal
South Central Asia,Pakistan
South Central Asia,Sri Lanka
South Central Asia,Tajikistan
South Central Asia,Turkmenistan
South Central Asia,Uzbekistan
Western Asia,Armenia
Western Asia,Azerbaijan
Western Asia,Bahrain
Western Asia,Georgia
Western Asia,Iraq
Western Asia,Israel
Western Asia,Jordan
Western Asia,Kuwait
Western Asia,Lebanon
Western Asia,Oman
Western Asia,Gaza Strip and West Bank
Western Asia,Qatar
Western Asia,Saudi Arabia
Western Asia,Syrian Arab Republic
Western Asia,Türkiye
Western Asia,United Arab Emirates
Western Asia,Yemen
Western Asia,Cyprus
Eastern Europe,Belarus
Eastern Europe,Bulgaria
Eastern Europe,Czechia
Eastern Europe,Hungary
Eastern Europe,Moldova
Eastern Europe,Poland
Eastern Europe,Romania
Eastern Europe,Russian Federation
Eastern Europe,Slovakia
Eastern Europe,Ukraine
Northern Europe,Denmark
Northern Europe,Estonia
Northern Europe,Finland
Northern Europe,Iceland
Northern Europe,Ireland
Northern Europe,Latvia
Northern Europe,Lithuania
Northern Europe,Norway
Northern Europe,Sweden
Northern Europe,United Kingdom
Northern Europe,Faroe Islands
Northern Europe,Aland Islands
Northern Europe,Sark
Northern Europe,Svalbard and Jan Mayen Islands
Northern Europe,Guernsey
Northern Europe,Jersey
Northern Europe,Isle of Man
Southern Europe,Albania
Southern Europe,Bosnia Herzegovina
Southern Europe,Croatia
Southern Europe,Greece
Southern Europe,Italy
Southern Europe,North Macedonia
Southern Europe,Malta
Southern Europe,Montenegro
Southern Europe,Portugal
Southern Europe,Serbia
Southern Europe,Slovenia
Southern Europe,Spain
Southern Europe,Andorra
Southern Europe,Gibraltar
Southern Europe,Holy See
Southern Europe,San Marino
Western Europe,Austria
